place_id,location_name,address,latitude,longitude,original_place_bbox,building_id,building_bbox,final_bbox,bbox_method,building_area_m2
e41ab7d3-7212-4130-a9af-6785627944fe,Heron View,6995 Nordin Rd,48.36517899,-123.73480625,"[-123.73480987548828, 48.365177154541016, -123.73479461669922, 48.36518478393555]",,,"[-123.73480987548828, 48.365177154541016, -123.73479461669922, 48.36518478393555]",original_place,
a4838f18-f7c3-408c-a5c7-bc0ab4086a88,Canadian Conservation Photographers Collective,6995 Nordin Rd,48.36584,-123.73197,"[-123.73197174072266, 48.3658332824707, -123.7319564819336, 48.365840911865234]",,,"[-123.73197174072266, 48.3658332824707, -123.7319564819336, 48.365840911865234]",original_place,
116915bb-3355-48fc-993d-62ab645fc989,Adventures By HIP,6971 W Coast Rd,48.36640757,-123.73020706,"[-123.73020935058594, 48.36640167236328, -123.73019409179688, 48.36640930175781]",,,"[-123.73020935058594, 48.36640167236328, -123.73019409179688, 48.36640930175781]",original_place,
113a0718-fcfc-4b90-9a96-947225d2f397,Neptune Wildlife Tours,6971 W Coast Rd,48.36639221,-123.73012452,"[-123.7301254272461, 48.36638641357422, -123.73011016845703, 48.36639404296875]",,,"[-123.7301254272461, 48.36638641357422, -123.73011016845703, 48.36639404296875]",original_place,
238d1fbd-3f1e-4e2d-a38d-c2c6461cd213,Sooke Harbour Resort & Marina,6971 W Coast Rd,48.36647328,-123.73151793,"[-123.73152160644531, 48.3664665222168, -123.73150634765625, 48.36647415161133]",,,"[-123.73152160644531, 48.3664665222168, -123.73150634765625, 48.36647415161133]",original_place,
53025e25-6e69-48b5-8133-fef10342b0dc,West Coast Outdoor Adventure,6971 W Coast Rd,48.36634353,-123.73123727,"[-123.73123931884766, 48.366336822509766, -123.7312240600586, 48.3663444519043]",,,"[-123.73123931884766, 48.366336822509766, -123.7312240600586, 48.3663444519043]",original_place,
e4abe408-396a-403d-932e-7136265b0dc0,Shore Thing Sooke,6971 W Coast Rd,48.36648737103396,-123.73192451390261,"[-123.73192596435547, 48.366485595703125, -123.7319107055664, 48.366493225097656]",,,"[-123.73192596435547, 48.366485595703125, -123.7319107055664, 48.366493225097656]",original_place,
75a3d8ec-ebad-4647-86be-485b45e245d8,Goin Coastal Fishing Charters,6971 W Coast Rd,48.36648081,-123.73369477,"[-123.73369598388672, 48.36647415161133, -123.73368072509766, 48.36648178100586]",,,"[-123.73369598388672, 48.36647415161133, -123.73368072509766, 48.36648178100586]",original_place,
1f67b192-7c54-42fa-8f9d-3bb2a0d2ffa4,"True Key Vacations Ltd. - Sooke, BC",6971 W Coast Rd,48.366511,-123.733558,"[-123.73355865478516, 48.36650466918945, -123.7335433959961, 48.366512298583984]",5e900228-93bb-4090-ab75-0a29642ac6fa,"[-123.73374938964844, 48.36647033691406, -123.7332992553711, 48.36665344238281]","[-123.73374938964844, 48.36647033691406, -123.7332992553711, 48.36665344238281]",building,
4c1aac5c-0e15-4420-a6c2-b778de03c285,Bluewolf Charters,6971 W Coast Rd,48.366605,-123.733397,"[-123.7333984375, 48.36660385131836, -123.73338317871094, 48.36661148071289]",5e900228-93bb-4090-ab75-0a29642ac6fa,"[-123.73374938964844, 48.36647033691406, -123.7332992553711, 48.36665344238281]","[-123.73374938964844, 48.36647033691406, -123.7332992553711, 48.36665344238281]",building,
a3f1ab81-6651-448a-88b0-a67d17b4d357,Spencers Sport Fishing,6971 W Coast Rd,48.36673,-123.73331,"[-123.73332214355469, 48.366729736328125, -123.73330688476562, 48.366737365722656]",,,"[-123.73332214355469, 48.366729736328125, -123.73330688476562, 48.366737365722656]",original_place,
8e7dff42-b178-48f5-90ac-72eb582fa3eb,Bluefin Fishing Adventures,6947 W Coast Rd,48.3670652,-123.73237818,"[-123.73239135742188, 48.36705780029297, -123.73237609863281, 48.3670654296875]",,,"[-123.73239135742188, 48.36705780029297, -123.73237609863281, 48.3670654296875]",original_place,
8b0d6e1b-b881-4e27-8441-f4db6bff38cc,Best Western Hotels & Resorts,6929 West Coast Road,48.36726236,-123.73078304,"[-123.73079681396484, 48.36725616455078, -123.73078155517578, 48.36726379394531]",,,"[-123.73079681396484, 48.36725616455078, -123.73078155517578, 48.36726379394531]",original_place,
69e28b1d-dd1e-43d7-ab0d-3c3cfed9564a,Prestige Marina and Fuel Sooke,"On the water in front of the Prestige Resort, 6929 W Coast Rd",48.36730159,-123.73018546,"[-123.73018646240234, 48.36729431152344, -123.73017120361328, 48.36730194091797]",523a53a6-acfa-4ff3-9da1-7034280a916f,"[-123.73060607910156, 48.36707305908203, -123.72958374023438, 48.36757278442383]","[-123.73060607910156, 48.36707305908203, -123.72958374023438, 48.36757278442383]",building,
e5434333-bbe0-46a3-8e12-6c7961937893,Le Sooke Spa,6929 W Coast Rd,48.367283,-123.730141,"[-123.73015594482422, 48.36728286743164, -123.73014068603516, 48.36729049682617]",523a53a6-acfa-4ff3-9da1-7034280a916f,"[-123.73060607910156, 48.36707305908203, -123.72958374023438, 48.36757278442383]","[-123.73060607910156, 48.36707305908203, -123.72958374023438, 48.36757278442383]",building,
80e55c21-a257-4e44-8e31-7fb0f6c95095,Island Tarts Cafe and Catering,"Inside Prestige Oceanfront Resort, 6929 W Coast Rd",48.36733456,-123.73019317,"[-123.73019409179688, 48.36732864379883, -123.73017883300781, 48.36733627319336]",523a53a6-acfa-4ff3-9da1-7034280a916f,"[-123.73060607910156, 48.36707305908203, -123.72958374023438, 48.36757278442383]","[-123.73060607910156, 48.36707305908203, -123.72958374023438, 48.36757278442383]",building,
6b634096-606a-48ba-8474-812262f6b736,Prestige Oceanfront Resort,6929 W Coast Rd,48.3673512,-123.7301413,"[-123.73015594482422, 48.36734390258789, -123.73014068603516, 48.36735153198242]",523a53a6-acfa-4ff3-9da1-7034280a916f,"[-123.73060607910156, 48.36707305908203, -123.72958374023438, 48.36757278442383]","[-123.73060607910156, 48.36707305908203, -123.72958374023438, 48.36757278442383]",building,
cada77ac-d1bd-4a02-b4d3-edde4e1dd339,West Coast Grill,6929 W Coast Rd,48.36728225,-123.73048661,"[-123.73049926757812, 48.36727523803711, -123.73048400878906, 48.36728286743164]",,,"[-123.73049926757812, 48.36727523803711, -123.73048400878906, 48.36728286743164]",original_place,
b6f5d6e2-2907-47d5-94d3-9c613b13471f,Vault,6929 W Coast Rd,48.36745199,-123.73056925,"[-123.73058319091797, 48.36745071411133, -123.7305679321289, 48.36745834350586]",,,"[-123.73058319091797, 48.36745071411133, -123.7305679321289, 48.36745834350586]",original_place,
53eeb88a-aed7-4e93-9857-6f348f170c26,Coastal Tides Day Spa,6929 W Coast Rd Level 1,48.36744141,-123.73032713,"[-123.73033905029297, 48.367435455322266, -123.7303237915039, 48.3674430847168]",523a53a6-acfa-4ff3-9da1-7034280a916f,"[-123.73060607910156, 48.36707305908203, -123.72958374023438, 48.36757278442383]","[-123.73060607910156, 48.36707305908203, -123.72958374023438, 48.36757278442383]",building,
5f4d6d47-5684-46fb-b5cb-a2e37f476db5,Yesaki Wine and Raw Bar,6929 W Coast Rd,48.36729242,-123.73131837,"[-123.73133087158203, 48.367286682128906, -123.73131561279297, 48.36729431152344]",,,"[-123.73133087158203, 48.367286682128906, -123.73131561279297, 48.36729431152344]",original_place,
ee10a0c7-3a1f-49fe-9ffe-5a298a24136b,Cascade Fire Protection 2012,6908 West Coast Road,48.3686673,-123.7308019,"[-123.73080444335938, 48.36865997314453, -123.73078918457031, 48.36866760253906]",0992b7ba-fe78-4743-94fc-b37c1d3a530b,"[-123.73102569580078, 48.36859130859375, -123.73067474365234, 48.368743896484375]","[-123.73102569580078, 48.36859130859375, -123.73067474365234, 48.368743896484375]",building,
